monthly_sales,category_code,time,category_name,high_level_category,is_subset,cv
6848.0,451,2017-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443
25133.0,4441,2017-07-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988
45209.0,4529,2017-07-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052
43717.0,4541,2017-07-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212
3308.0,44812,2017-07-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283
337285.0,44W72,2017-07-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234
7582.0,443,2017-07-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352
12122.0,4521E,2017-07-01,Department Stores,Department Stores,False,0.08625376047961941
15779.0,4481,2017-07-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107
22470.0,44611,2017-07-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238
28933.0,444,2017-07-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784
17102.0,4423X,2017-07-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385
4371.0,4453,2017-07-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873
60397.0,445,2017-07-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656
374694.0,44Y72,2017-07-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675
2472.0,45431,2017-07-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976
