monthly_sales,category_code,time,category_name,high_level_category,is_subset
38046.0,45291,2017-04-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True
55682.0,452,2017-04-01,General Merchandise Stores,General Merchandise Stores,False
44188.0,4529,2017-04-01,Other General Merchandise Stores,Other General Merchandise Stores,False
9393.0,44112,2017-04-01,Used Car Dealers,Motor Vehicle and Parts Dealers,True
2118.0,442299,2017-04-01,All Other Home Furnishings Stores,Furniture and Home Furnishings Stores,True
1321.0,45330,2017-04-01,Used Merchandise Stores,Miscellaneous Store Retailers,True
4747.0,4421,2017-04-01,Furniture Stores,Furniture and Home Furnishings Stores,True
2208.0,4532,2017-04-01,"Office Supplies, Stationery, and Gift Stores",Miscellaneous Store Retailers,True
2177.0,44831,2017-04-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True
7682.0,4413,2017-04-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True
45481.0,454,2017-04-01,Nonstore Retailers,Nonstore Retailers,False
11494.0,4521E,2017-04-01,Department Stores,Department Stores,False
42740.0,4541,2017-05-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True
26321.0,72251X,2017-05-01,Limited Service Eating Places,Food Services and Drinking Places,True
35616.0,444,2017-05-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
9888.0,44112,2017-05-01,Used Car Dealers,Motor Vehicle and Parts Dealers,True
4002.0,452111E,2017-05-01,Department Stores (Excl. Discount Department Stores),Department Stores,True
41292.0,447,2017-05-01,Gasoline Stations,Gasoline Stations,False
11211.0,453,2017-05-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
1913.0,45431,2017-05-01,Fuel Dealers,Gasoline Stations,True
2751.0,44831,2017-05-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True
8630.0,44814,2017-05-01,Family Clothing Stores,Clothing and Clothing Accessories Stores,True
11853.0,4521E,2017-05-01,Department Stores,Department Stores,False
16006.0,4481,2017-05-01,Clothing Stores,Clothing and Clothing Accessories Stores,True
347714.0,44W72,2017-05-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True
453370.0,44Z72,2017-05-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True
44766.0,4529,2017-05-01,Other General Merchandise Stores,Other General Merchandise Stores,False
3813.0,45111,2017-05-01,Sporting Goods Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
6565.0,451,2017-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
38469.0,45291,2017-05-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True
56619.0,452,2017-05-01,General Merchandise Stores,General Merchandise Stores,False
6297.0,45299,2017-05-01,All Other General Merchandise Stores,Other General Merchandise Stores,True
1488.0,45322,2017-05-01,"Gift, Novelty, and Souvenir Stores",Miscellaneous Store Retailers,True
60131.0,722,2017-05-01,Food Services and Drinking Places,Food Services and Drinking Places,False
1387.0,45330,2017-05-01,Used Merchandise Stores,Miscellaneous Store Retailers,True
7851.0,452112E,2017-05-01,Discount Department Stores,Department Stores,True
389006.0,44Y72,2017-05-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True
1479.0,44819,2017-05-01,Other Clothing Stores,Clothing and Clothing Accessories Stores,True
2923.0,4482,2017-05-01,Shoe Stores,Clothing and Clothing Accessories Stores,True
23025.0,44611,2017-05-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True
494662.0,44X72,2017-05-01,Retail Trade and Food Services,Retail Trade and Food Services,False
52483.0,7225,2017-05-01,Restaurants and Other Eating Places,Food Services and Drinking Places,True
3486.0,44812,2017-05-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True
1247.0,45112,2017-05-01,"Hobby, Toy, and Game Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
49357.0,454,2017-05-01,Nonstore Retailers,Nonstore Retailers,False
872.0,44811,2017-05-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True
97517.0,441X,2017-05-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True
769.0,451211,2017-05-01,Book Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
21962.0,448,2017-05-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
2450.0,4532,2017-05-01,"Office Supplies, Stationery, and Gift Stores",Miscellaneous Store Retailers,True
