cell_value,time_slot_id,data_type_code,category_code,error_data,seasonally_adj,data_type_code,time,us
335709,0,SM,44W72,no,yes,SM,2017-05,1
337376,0,SM,44W72,no,yes,SM,2017-06,1
337285,0,SM,44W72,no,yes,SM,2017-07,1
339102,0,SM,44W72,no,yes,SM,2017-08,1
342504,0,SM,44W72,no,yes,SM,2017-09,1
342518,0,SM,44W72,no,yes,SM,2017-10,1
347521,0,SM,44W72,no,yes,SM,2017-11,1
349423,0,SM,44W72,no,yes,SM,2017-12,1
38852,0,SM,45291,no,yes,SM,2017-01,1
38531,0,SM,45291,no,yes,SM,2017-02,1
38767,0,SM,45291,no,yes,SM,2017-03,1
38822,0,SM,45291,no,yes,SM,2017-04,1
38164,0,SM,45291,no,yes,SM,2017-05,1
39131,0,SM,45291,no,yes,SM,2017-06,1
38889,0,SM,45291,no,yes,SM,2017-07,1
39221,0,SM,45291,no,yes,SM,2017-08,1
39742,0,SM,45291,no,yes,SM,2017-09,1
39638,0,SM,45291,no,yes,SM,2017-10,1
39900,0,SM,45291,no,yes,SM,2017-11,1
40360,0,SM,45291,no,yes,SM,2017-12,1
57644,0,SM,452,no,yes,SM,2017-01,1
57059,0,SM,452,no,yes,SM,2017-02,1
57390,0,SM,452,no,yes,SM,2017-03,1
57482,0,SM,452,no,yes,SM,2017-04,1
56512,0,SM,452,no,yes,SM,2017-05,1
57664,0,SM,452,no,yes,SM,2017-06,1
57331,0,SM,452,no,yes,SM,2017-07,1
57565,0,SM,452,no,yes,SM,2017-08,1
58198,0,SM,452,no,yes,SM,2017-09,1
57920,0,SM,452,no,yes,SM,2017-10,1
58317,0,SM,452,no,yes,SM,2017-11,1
58692,0,SM,452,no,yes,SM,2017-12,1
377727,0,SM,44Y72,no,yes,SM,2017-08,1
6161,0,SM,45299,no,yes,SM,2017-01,1
6109,0,SM,45299,no,yes,SM,2017-02,1
6204,0,SM,45299,no,yes,SM,2017-03,1
6261,0,SM,45299,no,yes,SM,2017-04,1
6090,0,SM,45299,no,yes,SM,2017-05,1
6244,0,SM,45299,no,yes,SM,2017-06,1
6320,0,SM,45299,no,yes,SM,2017-07,1
6276,0,SM,45299,no,yes,SM,2017-08,1
6360,0,SM,45299,no,yes,SM,2017-09,1
6285,0,SM,45299,no,yes,SM,2017-10,1
6334,0,SM,45299,no,yes,SM,2017-11,1
6420,0,SM,45299,no,yes,SM,2017-12,1
484848,0,SM,44X72,no,yes,SM,2017-10,1
490013,0,SM,44X72,no,yes,SM,2017-11,1
492579,0,SM,44X72,no,yes,SM,2017-12,1
373649,0,SM,44Y72,no,yes,SM,2017-01,1
374178,0,SM,44Y72,no,yes,SM,2017-02,1
375324,0,SM,44Y72,no,yes,SM,2017-03,1
376592,0,SM,44Y72,no,yes,SM,2017-04,1
373836,0,SM,44Y72,no,yes,SM,2017-05,1
374836,0,SM,44Y72,no,yes,SM,2017-06,1
374694,0,SM,44Y72,no,yes,SM,2017-07,1
383328,0,SM,44Y72,no,yes,SM,2017-09,1
383302,0,SM,44Y72,no,yes,SM,2017-10,1
473019,0,SM,44X72,no,yes,SM,2017-01,1
472945,0,SM,44X72,no,yes,SM,2017-02,1
472149,0,SM,44X72,no,yes,SM,2017-03,1
473986,0,SM,44X72,no,yes,SM,2017-04,1
471630,0,SM,44X72,no,yes,SM,2017-05,1
473546,0,SM,44X72,no,yes,SM,2017-06,1
473552,0,SM,44X72,no,yes,SM,2017-07,1
474449,0,SM,44X72,no,yes,SM,2017-08,1
484163,0,SM,44X72,no,yes,SM,2017-09,1
48025,0,SM,454,no,yes,SM,2017-01,1
48178,0,SM,454,no,yes,SM,2017-02,1
48809,0,SM,454,no,yes,SM,2017-03,1
49324,0,SM,454,no,yes,SM,2017-04,1
49760,0,SM,454,no,yes,SM,2017-05,1
50181,0,SM,454,no,yes,SM,2017-06,1
50511,0,SM,454,no,yes,SM,2017-07,1
50853,0,SM,454,no,yes,SM,2017-08,1
51303,0,SM,454,no,yes,SM,2017-09,1
50938,0,SM,454,no,yes,SM,2017-10,1
53278,0,SM,454,no,yes,SM,2017-11,1
54125,0,SM,454,no,yes,SM,2017-12,1
10126,0,SM,453,no,yes,SM,2017-01,1
10295,0,SM,453,no,yes,SM,2017-02,1
10212,0,SM,453,no,yes,SM,2017-03,1
41326,0,SM,4541,no,yes,SM,2017-01,1
41515,0,SM,4541,no,yes,SM,2017-02,1
42065,0,SM,4541,no,yes,SM,2017-03,1
42633,0,SM,4541,no,yes,SM,2017-04,1
42869,0,SM,4541,no,yes,SM,2017-05,1
43337,0,SM,4541,no,yes,SM,2017-06,1
43717,0,SM,4541,no,yes,SM,2017-07,1
43825,0,SM,4541,no,yes,SM,2017-08,1
44191,0,SM,4541,no,yes,SM,2017-09,1
43967,0,SM,4541,no,yes,SM,2017-10,1
45907,0,SM,4541,no,yes,SM,2017-11,1
46439,0,SM,4541,no,yes,SM,2017-12,1
3095,0,SM,4482,no,yes,SM,2017-01,1
3023,0,SM,4482,no,yes,SM,2017-02,1
3084,0,SM,4482,no,yes,SM,2017-03,1
3089,0,SM,4482,no,yes,SM,2017-04,1
2998,0,SM,4482,no,yes,SM,2017-05,1
3023,0,SM,4482,no,yes,SM,2017-06,1
2972,0,SM,4482,no,yes,SM,2017-07,1
3043,0,SM,4482,no,yes,SM,2017-08,1
3038,0,SM,4482,no,yes,SM,2017-09,1
2959,0,SM,4482,no,yes,SM,2017-10,1
3013,0,SM,4482,no,yes,SM,2017-11,1
3007,0,SM,4482,no,yes,SM,2017-12,1
2569,0,SM,44831,no,yes,SM,2017-01,1
2526,0,SM,44831,no,yes,SM,2017-02,1
2529,0,SM,44831,no,yes,SM,2017-03,1
2523,0,SM,44831,no,yes,SM,2017-04,1
2559,0,SM,44831,no,yes,SM,2017-06,1
2631,0,SM,44831,no,yes,SM,2017-07,1
2582,0,SM,44831,no,yes,SM,2017-08,1
2647,0,SM,44831,no,yes,SM,2017-09,1
2667,0,SM,44831,no,yes,SM,2017-10,1
2578,0,SM,44831,no,yes,SM,2017-12,1
12631,0,SM,4521E,no,yes,SM,2017-01,1
12419,0,SM,4521E,no,yes,SM,2017-02,1
12419,0,SM,4521E,no,yes,SM,2017-03,1
12399,0,SM,4521E,no,yes,SM,2017-04,1
12258,0,SM,4521E,no,yes,SM,2017-05,1
12289,0,SM,4521E,no,yes,SM,2017-06,1
12122,0,SM,4521E,no,yes,SM,2017-07,1
12068,0,SM,4521E,no,yes,SM,2017-08,1
12096,0,SM,4521E,no,yes,SM,2017-09,1
11997,0,SM,4521E,no,yes,SM,2017-10,1
12083,0,SM,4521E,no,yes,SM,2017-11,1
11912,0,SM,4521E,no,yes,SM,2017-12,1
10255,0,SM,453,no,yes,SM,2017-04,1
10070,0,SM,453,no,yes,SM,2017-05,1
10050,0,SM,453,no,yes,SM,2017-06,1
10267,0,SM,453,no,yes,SM,2017-07,1
10218,0,SM,453,no,yes,SM,2017-08,1
10326,0,SM,453,no,yes,SM,2017-09,1
10346,0,SM,453,no,yes,SM,2017-10,1
10591,0,SM,453,no,yes,SM,2017-11,1
10671,0,SM,453,no,yes,SM,2017-12,1
2424,0,SM,45431,no,yes,SM,2017-01,1
2421,0,SM,45431,no,yes,SM,2017-02,1
2521,0,SM,45431,no,yes,SM,2017-03,1
2524,0,SM,45431,no,yes,SM,2017-04,1
2603,0,SM,45431,no,yes,SM,2017-05,1
2537,0,SM,45431,no,yes,SM,2017-06,1
2472,0,SM,45431,no,yes,SM,2017-07,1
2573,0,SM,45431,no,yes,SM,2017-08,1
2640,0,SM,45431,no,yes,SM,2017-09,1
2558,0,SM,45431,no,yes,SM,2017-10,1
2851,0,SM,45431,no,yes,SM,2017-11,1
3173,0,SM,45431,no,yes,SM,2017-12,1
389356,0,SM,44Y72,no,yes,SM,2017-11,1
392099,0,SM,44Y72,no,yes,SM,2017-12,1
433070,0,SM,44Z72,no,yes,SM,2017-01,1
432705,0,SM,44Z72,no,yes,SM,2017-02,1
432252,0,SM,44Z72,no,yes,SM,2017-03,1
434210,0,SM,44Z72,no,yes,SM,2017-04,1
433503,0,SM,44Z72,no,yes,SM,2017-05,1
436086,0,SM,44Z72,no,yes,SM,2017-06,1
436143,0,SM,44Z72,no,yes,SM,2017-07,1
435824,0,SM,44Z72,no,yes,SM,2017-08,1
443339,0,SM,44Z72,no,yes,SM,2017-09,1
444064,0,SM,44Z72,no,yes,SM,2017-10,1
448178,0,SM,44Z72,no,yes,SM,2017-11,1
449903,0,SM,44Z72,no,yes,SM,2017-12,1
45013,0,SM,4529,no,yes,SM,2017-01,1
44640,0,SM,4529,no,yes,SM,2017-02,1
44971,0,SM,4529,no,yes,SM,2017-03,1
45083,0,SM,4529,no,yes,SM,2017-04,1
44254,0,SM,4529,no,yes,SM,2017-05,1
45375,0,SM,4529,no,yes,SM,2017-06,1
45209,0,SM,4529,no,yes,SM,2017-07,1
45497,0,SM,4529,no,yes,SM,2017-08,1
46102,0,SM,4529,no,yes,SM,2017-09,1
45923,0,SM,4529,no,yes,SM,2017-10,1
46234,0,SM,4529,no,yes,SM,2017-11,1
46780,0,SM,4529,no,yes,SM,2017-12,1
99948,0,SM,441,no,yes,SM,2018-01,1
99713,0,SM,441,no,yes,SM,2018-02,1
99910,0,SM,441,no,yes,SM,2018-03,1
100001,0,SM,441,no,yes,SM,2018-04,1
100775,0,SM,441,no,yes,SM,2018-05,1
100391,0,SM,441,no,yes,SM,2018-06,1
100877,0,SM,441,no,yes,SM,2018-07,1
100050,0,SM,441,no,yes,SM,2018-08,1
99414,0,SM,441,no,yes,SM,2018-09,1
100091,0,SM,441,no,yes,SM,2018-10,1
101122,0,SM,441,no,yes,SM,2018-11,1
102208,0,SM,441,no,yes,SM,2018-12,1
431006,0,SM,44000,no,yes,SM,2018-01,1
