monthly_sales,category_code,time,category_name,high_level_category,is_subset,cv,year,yoy_growth,cpi_index,inflation_adjusted_sales
15989.0,4481,2017-04-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107,2017,NULL,244.524,6538.826454662937
21834.0,448,2017-04-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514,2017,NULL,244.524,8929.184865289297
60480.0,445,2017-04-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656,2017,NULL,244.524,24733.76846444521
473986.0,44X72,2017-04-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846,2017,NULL,244.524,193840.27743697958
7823.0,4413,2017-04-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359,2017,NULL,244.524,3199.2769625885394
45083.0,4529,2017-04-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052,2017,NULL,244.524,18437.04503443425
416613.0,44000,2017-04-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272,2017,NULL,244.524,170377.14089414536
29033.0,444,2017-04-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784,2017,NULL,244.524,11873.272153244672
25241.0,4441,2017-04-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988,2017,NULL,244.524,10322.5041304739
7050.0,451,2017-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443,2017,NULL,244.524,2883.1525739804683
39776.0,447,2017-04-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362,2017,NULL,244.524,16266.705926616609
54199.0,4451,2017-04-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436,2017,NULL,244.524,22165.104447825164
97394.0,441,2017-04-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332,2017,NULL,244.524,39830.03713336932
49324.0,454,2017-04-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308,2017,NULL,244.524,20171.43511475356
38822.0,45291,2017-04-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292,2017,NULL,244.524,15876.560174052445
376592.0,44Y72,2017-04-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675,2017,NULL,244.524,154010.24030361028
9395.0,442,2017-04-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764,2017,NULL,244.524,3842.158642914397
57373.0,722,2017-04-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256,2017,NULL,244.524,23463.13654283424
2523.0,44831,2017-04-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883,2017,NULL,244.524,1031.8005594542867
6261.0,45299,2017-04-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059,2017,NULL,244.524,2560.484860381803
3089.0,4482,2017-04-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816,2017,NULL,244.524,1263.2706809965484
17260.0,4423X,2017-04-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385,2017,NULL,244.524,7058.611833603246
770.0,44811,2017-04-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098,2017,NULL,244.524,314.8975151723348
2524.0,45431,2017-04-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976,2017,NULL,244.524,1032.2095172661989
57482.0,452,2017-04-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407,2017,NULL,244.524,23507.712944332663
12399.0,4521E,2017-04-01,Department Stores,Department Stores,False,0.08625376047961941,2017,NULL,244.524,5070.667909898415
10255.0,453,2017-04-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801,2017,NULL,244.524,4193.862361158823
26725.0,446,2017-04-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862,2017,NULL,244.524,10929.397523351492
3341.0,44812,2017-04-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283,2017,NULL,244.524,1366.3280495984034
106155.0,4400C,2017-04-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685,2017,NULL,244.524,43412.91652353143
434210.0,44Z72,2017-04-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524,2017,NULL,244.524,177573.571510363
28736.0,444,2017-05-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784,2017,NULL,244.733,11741.775731102874
335709.0,44W72,2017-05-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234,2017,NULL,244.733,137173.5728324337
22376.0,44611,2017-05-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238,2017,NULL,244.733,9143.02525609542
42869.0,4541,2017-05-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212,2017,NULL,244.733,17516.640583819917
57377.0,722,2017-05-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256,2017,NULL,244.733,23444.733648506743
